Epoch gpu_mem box obj cls total labels img_size P R mAP@.5 mAP@.5:.95 val_loss(box) val_loss(obj) val_loss(cls)
     0/299     19.6G   0.08063    0.2444   0.03484    0.3598       173      1280    0.1732     0.282    0.2102     0.147   0.06042    0.0428   0.02133
     1/299     19.3G   0.04802   0.03993  0.008643   0.09659       113      1280    0.8682    0.5684    0.6383    0.4075   0.04222   0.04239  0.009727
     2/299     19.3G   0.04237   0.03828  0.002922   0.08358        85      1280    0.8586    0.6541    0.6877    0.4301   0.04214    0.0421  0.005862
     3/299     19.3G   0.03837   0.03764  0.001707   0.07772        23      1280    0.7153    0.7362    0.7358    0.4794    0.0387   0.04111  0.005011
     4/299     19.3G   0.03508   0.03588  0.001227   0.07219        94      1280    0.7877    0.7313    0.7551    0.4999    0.0359   0.04177  0.004769
     5/299     19.3G   0.03354   0.03444  0.001115   0.06909        43      1280    0.7925    0.7693    0.7761    0.5185   0.03488   0.04111  0.004566
     6/299     19.4G   0.03236   0.03411 0.0009354   0.06741       173      1280    0.8227    0.7651    0.7962    0.5264    0.0339    0.0405  0.004415
     7/299     19.4G   0.03164   0.03382  0.000879   0.06633       113      1280     0.818    0.7874    0.8109    0.5469   0.03249   0.04095  0.004195
     8/299     19.4G   0.03079   0.03231 0.0008087   0.06391        85      1280    0.8243    0.7947    0.8114    0.5475   0.03226   0.04196  0.004286
     9/299     19.4G   0.02998   0.03221 0.0007478   0.06294        23      1280    0.8319    0.8051    0.8175    0.5558   0.03177   0.04187  0.004129
    10/299     19.4G   0.02942   0.03188 0.0007257   0.06203        94      1280    0.8203    0.8055    0.8172    0.5514   0.03093   0.04143  0.003924
    11/299     19.4G   0.02926   0.03127 0.0007576   0.06129        43      1280    0.8595    0.8076    0.8326    0.5697   0.03027   0.04214  0.003887
    12/299     19.4G   0.02954    0.0326 0.0007919   0.06294        47      1280    0.8688    0.8009    0.8308    0.5703   0.02938   0.04241  0.003562
    13/299     19.4G   0.02941   0.03267 0.0007677   0.06285        43      1280     0.844    0.8116    0.8259    0.5737   0.02868   0.04234  0.003381
    14/299     19.4G   0.02933   0.03266 0.0008494   0.06284       102      1280    0.8422    0.8301    0.8393    0.5823   0.02735   0.04115  0.003195
    15/299     19.4G   0.02877   0.03303 0.0007669   0.06256       124      1280    0.8924    0.8207    0.8601    0.5873   0.02669   0.04267  0.002841
    16/299     19.4G   0.02856   0.03198 0.0006963   0.06124        45      1280    0.8464    0.8338    0.8485    0.5885   0.02623   0.04213  0.002499
    17/299     19.4G   0.02822   0.03233  0.000632   0.06119       104      1280    0.8727    0.8414    0.8619     0.592   0.02573    0.0429  0.002546
    18/299     19.4G   0.02783   0.03174 0.0006322    0.0602        48      1280    0.8659    0.8404    0.8641    0.5975   0.02553   0.04429  0.002421
    19/299     19.4G    0.0276   0.03117  0.000616   0.05939        77      1280    0.8661    0.8329    0.8634     0.606   0.02522   0.04348  0.002319
    20/299     19.4G   0.02744     0.031 0.0005847   0.05903       100      1280    0.8904    0.8333    0.8651    0.6075   0.02476   0.04476  0.002257
    21/299     19.4G   0.02704   0.03068 0.0005414   0.05825       173      1280    0.9055    0.8262    0.8713    0.6141   0.02483   0.04361  0.002401
    22/299     19.4G   0.02664   0.03067 0.0005424   0.05786       113      1280    0.8932    0.8401    0.8756     0.613   0.02426   0.04461  0.002121
    23/299     19.4G    0.0266   0.02983 0.0005189   0.05694        85      1280    0.8988    0.8426     0.875    0.6154    0.0242   0.04422  0.002219
    24/299     19.4G   0.02588   0.02993 0.0004956    0.0563        23      1280     0.908    0.8452    0.8823    0.6204    0.0237   0.04565  0.002102
    25/299     19.4G   0.02615   0.02976  0.000474   0.05638        94      1280    0.9072    0.8486    0.8842    0.6242   0.02355   0.04471  0.002153
    26/299     19.4G   0.02586   0.02908   0.00048   0.05542        43      1280    0.8959    0.8715    0.8914    0.6292   0.02383   0.04482   0.00231
    27/299     19.4G   0.02611   0.02979 0.0004853   0.05638        47      1280    0.8853    0.8706    0.8864    0.6269   0.02364   0.04397  0.002186
    28/299     19.4G   0.02591   0.02976 0.0004721   0.05614        43      1280    0.8926    0.8634    0.8831    0.6291   0.02331   0.04507  0.002235
    29/299     19.4G   0.02589   0.02944 0.0004742    0.0558       102      1280    0.9053    0.8612    0.8932    0.6313    0.0236   0.04482  0.002264
    30/299     19.4G   0.02572   0.02969 0.0004582   0.05587       124      1280    0.9153    0.8618    0.8918    0.6331   0.02345   0.04443  0.002289
    31/299     19.4G   0.02568   0.02906 0.0004531   0.05519        45      1280    0.8774    0.8697    0.8866     0.633   0.02325   0.04446  0.002165
    32/299     19.4G   0.02563   0.02952 0.0004434   0.05559       104      1280    0.9094    0.8621    0.8917    0.6365   0.02315   0.04482  0.002196
    33/299     19.4G   0.02525   0.02902  0.000443   0.05471        48      1280     0.884    0.8709    0.8958    0.6372   0.02301   0.04545  0.002217
    34/299     19.4G    0.0249   0.02849 0.0004357   0.05383        77      1280    0.9236    0.8684    0.8994    0.6421   0.02273   0.04518  0.002141
    35/299     19.4G   0.02492   0.02841 0.0004173   0.05374       100      1280    0.9207    0.8755      0.91    0.6465   0.02288   0.04525  0.002217
    36/299     19.4G   0.02532   0.02965 0.0004464   0.05542        31      1280    0.9215    0.8848    0.9134    0.6492   0.02275   0.04504  0.002222
    37/299     19.4G   0.02525   0.02904 0.0004401   0.05473        77      1280    0.8738    0.8903    0.8993    0.6468   0.02265   0.04592  0.002269
    38/299     19.4G   0.02501   0.02901 0.0004358   0.05445        94      1280    0.9274    0.8663    0.9095    0.6499   0.02265   0.04501  0.002185
    39/299     19.4G   0.02502   0.02886  0.000429   0.05431        54      1280    0.9111    0.8804    0.9055    0.6502   0.02269   0.04477  0.002253
    40/299     19.4G   0.02476   0.02882 0.0003989   0.05397       115      1280    0.9205    0.8775     0.909    0.6551   0.02249   0.04535  0.002245
    41/299     19.4G   0.02477    0.0283 0.0004008   0.05347        93      1280    0.8882    0.8943    0.9082    0.6513   0.02241   0.04543  0.002211
    42/299     19.4G   0.02489   0.02907  0.000407   0.05437        83      1280     0.944    0.8666     0.916     0.669   0.02231   0.04472  0.002295
    43/299     19.4G   0.02449   0.02827 0.0003756   0.05314       173      1280      0.94    0.8799    0.9172    0.6653   0.02215   0.04548  0.002263
    44/299     19.4G   0.02443   0.02847 0.0003984    0.0533       113      1280    0.9109    0.8871    0.9118    0.6597   0.02237   0.04486  0.002302
    45/299     19.4G   0.02392   0.02753 0.0003781   0.05182        85      1280    0.9287    0.8937     0.916    0.6657   0.02205   0.04462  0.002289
    46/299     19.4G   0.02398   0.02802 0.0003777   0.05238        23      1280    0.9249    0.8841    0.9121    0.6639   0.02209   0.04472  0.002194
    47/299     19.4G   0.02402   0.02794 0.0003667   0.05233        94      1280     0.925    0.8888    0.9198    0.6693   0.02194   0.04519  0.002248
    48/299     19.4G    0.0238   0.02736 0.0003802   0.05154        43      1280    0.9218    0.8918    0.9234    0.6727   0.02173   0.04533  0.002265
    49/299     19.4G   0.02393   0.02778 0.0003761   0.05209        47      1280    0.9251    0.8937     0.918    0.6701   0.02178   0.04544  0.002247
    50/299     19.4G   0.02375   0.02771 0.0003643   0.05183        43      1280    0.9232    0.9021    0.9207    0.6721   0.02157   0.04644  0.002254
    51/299     19.4G   0.02385   0.02765 0.0003584   0.05186       102      1280    0.9322    0.8841    0.9222    0.6732   0.02181   0.04564   0.00223
    52/299     19.4G   0.02373   0.02789 0.0003599   0.05198       124      1280    0.9457    0.8845    0.9242    0.6771   0.02164   0.04565   0.00227
    53/299     19.4G   0.02373   0.02719 0.0003722    0.0513        45      1280    0.9433     0.889    0.9271    0.6811    0.0217   0.04505  0.002248
    54/299     19.4G   0.02355   0.02767 0.0003541   0.05158       104      1280    0.9375    0.8971    0.9274    0.6793   0.02183   0.04523  0.002356
    55/299     19.4G   0.02326   0.02705 0.0003436   0.05065       173      1280    0.9459    0.8947    0.9292     0.683   0.02148   0.04541  0.002275
    56/299     19.4G   0.02324   0.02733 0.0003553   0.05092       113      1280    0.9402    0.9004    0.9297    0.6855   0.02148   0.04553  0.002237
    57/299     19.4G   0.02305   0.02662 0.0003348      0.05        85      1280    0.9403    0.9047    0.9371    0.6876   0.02134   0.04595  0.002257
    58/299     19.4G   0.02326   0.02709 0.0003357   0.05069        23      1280    0.9327    0.9081    0.9354    0.6907    0.0213   0.04564  0.002228
    59/299     19.4G   0.02295    0.0269 0.0003338   0.05018        94      1280     0.945    0.9013    0.9386    0.6901   0.02109   0.04568  0.002217
    60/299     19.4G   0.02291   0.02639 0.0003469   0.04964        43      1280    0.9316    0.9187    0.9382    0.6951   0.02136   0.04575  0.002287
    61/299     19.4G   0.02282   0.02673 0.0003302   0.04988        47      1280    0.9566    0.9021    0.9399     0.693   0.02118   0.04596  0.002253
    62/299     19.4G   0.02306   0.02713 0.0003292   0.05051        43      1280    0.9544    0.9041    0.9389    0.6921   0.02109   0.04598  0.002249
    63/299     19.4G    0.0231   0.02679 0.0003306   0.05022       102      1280    0.9415    0.9095    0.9322    0.6929   0.02095   0.04567  0.002216
    64/299     19.4G     0.023   0.02714 0.0003334   0.05047       124      1280    0.9435    0.9022    0.9325    0.6986   0.02098   0.04573  0.002234
    65/299     19.4G   0.02279   0.02633 0.0003266   0.04944        45      1280    0.9557    0.9061    0.9374    0.7014   0.02089   0.04567  0.002249
    66/299     19.4G   0.02275   0.02688 0.0003178   0.04994       104      1280    0.9513    0.9071     0.939    0.7022   0.02092   0.04564  0.002292
    67/299     19.4G    0.0226   0.02639 0.0003096    0.0493       173      1280    0.9456    0.9143      0.94    0.7025   0.02086   0.04557  0.002298
    68/299     19.4G   0.02246   0.02649 0.0003175   0.04927       113      1280    0.9383    0.9184     0.941    0.7037   0.02081   0.04558  0.002267
    69/299     19.4G   0.02241   0.02588 0.0003179   0.04861        85      1280    0.9392    0.9172    0.9412    0.7047   0.02084    0.0454  0.002337
    70/299     19.4G   0.02227   0.02625  0.000309   0.04883        23      1280    0.9475    0.9107    0.9413    0.7051    0.0208   0.04528  0.002286
